Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"RAMCOCEM","855.00","879.10","847.70","861.00","16.25","1.92","6.98","60.60","879.10","647.60","25.50","17.25"
"LICHSGFIN","540.00","556.00","536.10","551.00","10.15","1.88","21.36","116.86","794.00","476.60","-14.23","5.65"
"BALRAMCHIN","68.00","69.70","67.25","68.90","1.25","1.85","80.52","54.88","182.50","65.60","-56.92","-26.35"
"HINDPETRO","302.80","308.60","301.80","304.40","5.35","1.79","71.32","217.72","492.80","297.10","-17.50","-13.84"
"YESBANK","310.90","317.00","309.00","314.00","5.45","1.77","109.27","343.48","382.90","275.25","1.61","4.41"
"HCLTECH","1,062.00","1,108.00","1,055.00","1,081.00","18.65","1.76","45.43","495.00","1,108.00","796.20","32.65","15.33"
"CANBK","255.30","265.00","251.05","263.25","4.55","1.76","141.83","368.11","463.70","225.20","-19.04","2.15"
"ULTRACEMCO","4,072.10","4,162.65","4,072.10","4,150.00","69.10","1.69","1.11","46.09","4,599.90","3,773.30","3.58","3.77"
"LUPIN","799.00","817.90","797.40","812.90","13.00","1.63","21.69","175.67","1,431.40","727.10","-43.05","5.87"
"GLENMARK","570.00","583.40","568.85","580.50","9.30","1.63","5.51","31.84","915.90","517.05","-36.13","6.49"
"ADANIPORTS","381.45","389.55","375.55","387.25","6.10","1.60","36.14","139.02","452.35","318.00","16.50","6.48"
"KSCL","528.50","545.50","523.30","538.75","8.45","1.59","4.10","22.00","708.00","431.20","-3.17","13.44"
"ASIANPAINT","1,160.90","1,181.40","1,145.40","1,177.60","18.25","1.57","5.54","64.67","1,262.00","1,042.50","11.22","6.71"
"PEL","2,553.00","2,638.85","2,553.00","2,607.00","38.50","1.50","1.12","29.32","3,058.37","2,212.87","15.05","5.22"
"KPIT","243.10","250.90","241.35","246.50","3.40","1.40","40.52","100.38","250.90","104.05","93.56","7.71"
"KOTAKBANK","1,158.70","1,177.15","1,153.25","1,167.20","14.35","1.24","13.54","158.22","1,177.50","876.10","31.27","11.05"
"HCC","24.10","24.90","24.05","24.45","0.30","1.24","31.22","7.62","48.10","21.75","-44.49","-15.10"
"ADANIENT","139.00","142.00","137.60","139.35","1.65","1.20","44.66","62.37","223.50","104.80","-4.72","-14.09"
"SIEMENS","1,072.75","1,094.40","1,068.95","1,084.00","11.95","1.11","2.68","28.98","1,471.35","1,055.05","-17.31","-1.86"
"MUTHOOTFIN","430.00","439.90","428.10","438.00","4.65","1.07","8.96","38.94","525.50","357.45","5.15","11.04"
"IDEA","71.70","72.30","70.70","71.60","0.75","1.06","100.59","71.84","118.90","70.10","-15.42","-9.54"
"GMRINFRA","19.50","20.05","19.35","19.70","0.20","1.03","234.90","46.28","25.05","14.20","19.76","9.75"
"CHENNPETRO","327.90","333.00","325.80","330.40","3.35","1.02","3.87","12.76","480.50","310.50","-9.06","-3.11"
"IOC","161.50","163.90","160.30","161.70","1.60","1.00","113.18","183.49","231.48","156.75","-62.16","-6.23"
"BAJFINANCE","1,880.00","1,919.75","1,860.80","1,899.00","18.60","0.99","7.62","144.20","1,985.90","1,190.55","51.68","11.41"
